categoria,descricao,cor
Fibra,"Cordão 3,2 mm",Amarelo
Corda,6 mm,Amarelo
Trico,4 mm,Amarelo
Fio,1mm,Natural
Fibra,Cordão 5 mm,Argila
Corda,8 mm,Areia
Trico,10 mm,Areia
Fio,2mm,Areia
Fibra,Meia Cana 6 mm,Argila 2
Corda,14 mm,Azul Acinzentado
Trico,18 mm,Azul Acinzentado
Fio,,Prata
Fibra,Fita 10 mm,Avelã 2
Corda,20 mm,Azul BIC
Trico,22 mm,Azul CVC
Fio,,Rami
Fibra,Dupla 12 mm,Avelã Claro
Corda,10 mm,Azul CVC
Trico,40 mm,Azul Marinho
Fio,,Verde Oliva
Fibra,Fita 15 mm Fina,Azul Bebê
Corda,10 mm C/F,Azul Tiffany
Trico,40mm Enx,Azul Royal
Fio,,Verde Militar
Fibra,Fita 15 mm Grossa,Azul Bic
Corda,6 mm C/F,Azul Turquesa
Trico,,Azul Tiffany
Fio,,Verde Pinho
Fibra,Fita 20 mm,Azul Marinho
Corda,6 mm PD,Branco
Trico,,Azul Turquesa
Fio,,Verde Menta
Fibra,,Azul Pérola
Corda,8 mm PD,Champagne
Trico,,Champagne
Fio,,Verde Dark
Fibra,,Azul Tiffany
Corda,14 mm PD,Chumbo
Trico,,Chumbo
Fio,,Preto
Fibra,,Bananeira
Corda,20 mm PD,Laranja
Trico,,Ferrugem
Fio,,Azul CVC
Fibra,,Café
Corda,10 mm PD,Marrom
Trico,,Laranja
Fio,,Terracota
Fibra,,Camurça
Corda,,Prata
Trico,,Marrom
Fio,,Vinho-Bordô
Fibra,,Capuccino
Corda,,Preto
Trico,,Prata
Fio,,Marrom
Fibra,,Carvalho
Corda,,Rami
Trico,,Preto
Fio,,Chumbo
Fibra,,Castor
Corda,,Terracota
Trico,,Rami
Fio,,BRANCO
Fibra,,Chocolate
Corda,,Verde Militar
Trico,,Terracota
Fibra,,Cinza
Corda,,Verde Oliva
Trico,,Terracota e Areia
Fio,,Laranja
Fibra,,Grafite
Corda,,Verde Pinho
Trico,,Terracota e Rami
Fibra,,Indiano
Corda,,Verde Menta
Trico,,Turquesa e Tiffany
Fibra,,Lilás
Corda,,Vinho Bordô
Trico,,Verde Militar
Fibra,,Marrom Tabaco
Corda,,Vinho + Rami
Trico,,Verde Oliva
Fibra,,Palha
Corda,,Chumbo + Preto
Trico,,Verde Pinho
Fibra,,Palha Envelhecida
Corda,,Chumbo + Branco
Trico,,Vermelho
Fibra,,Pau Brasil
Corda,,Amarelo + Preto
Trico,,Vinho Bordô
Fibra,,Preto
Corda,,Areia + Rami
Trico,,001
Fibra,,Rosa Bebê
Corda,,Rami + Champagne
Trico,,002
Fibra,,Rosa Pink
Corda,,Prata + Branco
Trico,,003
Fibra,,Roxo Escuro
Corda,,Champagne + Branco
Trico,,004
Fibra,,Salmão
Corda,,Champagne + Prata + Marrom
Trico,,005
Fibra,,Tabaco Avermelhado
Corda,,Areia + Marrom
Trico,,006
Fibra,,Taipa
Corda,,Verde Militar + Preto + Prata
Trico,,007
Fibra,,Tijolo
Corda,,Verde Militar + Branco + Marrom + Laranja
Trico,,008
Fibra,,Vanilla
Corda,,Champagne + Rami + Verde Militar
Trico,,009
Fibra,,Verde Claro
Corda,,Cumbo + Prata + Azul CVC
Trico,,010
Fibra,,Verde Musgo
Corda,,Areia + Rami + Azul Marinho
Trico,,011
Fibra,,Verde Sage
Corda,,Azul Marinho + Preto
Trico,,012
Fibra,,Vermelho
Corda,,Terracota + Preto
Trico,,013
Fibra,,Vinho Bordô
Corda,,Chumbo + Prata
Trico,,014
Fibra,,BRANCO
Corda,,Areia + Prata
Trico,,015
Fibra,,Terracota
Corda,,Champagne + Rami
Trico,,016
Fibra,,Laranja
Corda,,Vinho + Chumbo
Trico,,017
Fibra,,Chumbo
Corda,,Vinho + Preto
Trico,,018
Fibra,,Madeirado
Corda,,Chumbo + Prata + Preto
Trico,,019
Fibra,,Argila Continua
Corda,,Azul Turquesa + Prata + Preto
Trico,,020
Fibra,,Camurça Estonado
Corda,,Preto + Chumbo
Trico,,021
Fibra,,Azul CVC Estonado
Corda,,Champagne + Terracota
Trico,,022
Fibra,,Verde Militar Estonado
Corda,,Marrom + Champagne
Trico,,023
Corda,,Champagne + Areia + Marrom
Trico,,024
Corda,,001
Trico,,025
Corda,,002
Trico,,026
Corda,,003
Trico,,027
Corda,,004
Trico,,028
Corda,,005
Trico,,029
Corda,,006
Trico,,030
Corda,,007
Trico,,031
Corda,,008
Trico,,032
Corda,,009
Trico,,033
Corda,,010
Trico,,034
Corda,,011
Trico,,035
Corda,,012
Trico,,036
Corda,,013
Trico,,037
Corda,,014
Trico,,038
Corda,,015
Trico,,039
Corda,,016
Trico,,040
Corda,,017
Trico,,041
Corda,,018
Trico,,042
Corda,,019
