operador,codigo,produto,fibra,fibracor,corda,cordacor,trico,tricocor,tipo,data_referencia,fio,fiocor
Flavio,16,Fibra Sintética,"Cordão 3,2 mm",Amarelo,6 mm,Amarelo,4 mm,Amarelo,Registrado,,1mm,Natural
Graciela,22,Corda Náutica,Cordão 5 mm,Argila,8 mm,Areia,10 mm,Areia,Pedido Embalado,,2mm,Areia
Jean,24,Trico Náutico,Meia Cana 6 mm,Argila 2,14 mm,Azul Acinzentado,18 mm,Azul Acinzentado,,,,Prata
Pedro,,Fio,Fita 10 mm,Avelã 2,20 mm,Azul BIC,22 mm,Azul CVC,,,,Rami
Rodrigo,,,Dupla 12 mm,Avelã Claro,10 mm,Azul CVC,40 mm,Azul Marinho,,,,Verde Oliva
Vitor,,,Fita 15 mm Fina,Azul Bebê,10 mm C/F,Azul Tiffany,40mm Enx,Azul Royal,,,,Verde Militar
Vinicius,,,Fita 15 mm Grossa,Azul Bic,6 mm C/F,Azul Turquesa,,Azul Tiffany,,,,Verde Pinho
Sallu,,,Fita 20 mm,Azul Marinho,6 mm PD,Branco,,Azul Turquesa,,,,Verde Menta
,,,,Azul Pérola,8 mm PD,Champagne,,Champagne,,,,Verde Dark
,,,,Azul Tiffany,14 mm PD,Chumbo,,Chumbo,,,,Preto
,,,,Bananeira,20 mm PD,Laranja,,Ferrugem,,,,Azul CVC
,,,,Café,10 mm PD,Marrom,,Laranja,,,,Terracota
,,,,Camurça,,Prata,,Marrom,,,,Vinho-Bordô
,,,,Capuccino,,Preto,,Prata,,,,Marrom
,,,,Carvalho,,Rami,,Preto,,,,Chumbo
,,,,Castor,,Terracota,,Rami,,,,BRANCO
,,,,Chocolate,,Verde Militar,,Terracota,,,,Terracota
,,,,Cinza,,Verde Oliva,,Terracota e Areia,,,,Laranja
,,,,Grafite,,Verde Pinho,,Terracota e Rami,,,,
,,,,Indiano,,Verde Menta,,Turquesa e Tiffany,,,,
,,,,Lilás,,Vinho Bordô,,Verde Militar,,,,
,,,,Marrom Tabaco,,Vinho + Rami,,Verde Oliva,,,,
,,,,Palha,,Chumbo + Preto,,Verde Pinho,,,,
,,,,Palha Envelhecida,,Chumbo + Branco,,Vermelho,,,,
,,,,Pau Brasil,,Amarelo + Preto,,Vinho Bordô,,,,
,,,,Preto,,Areia + Rami,,001,,,,
,,,,Rosa Bebê,,Rami + Champagne,,002,,,,
,,,,Rosa Pink,,Prata + Branco,,003,,,,
,,,,Roxo Escuro,,Champagne + Branco,,004,,,,
,,,,Salmão,,Champagne + Prata + Marrom,,005,,,,
,,,,Tabaco Avermelhado,,Areia + Marrom,,006,,,,
,,,,Taipa,,Verde Militar + Preto + Prata,,007,,,,
,,,,Tijolo,,Verde Militar + Branco + Marrom + Laranja,,008,,,,
,,,,Vanilla,,Champagne + Rami + Verde Militar,,009,,,,
,,,,Verde Claro,,Cumbo + Prata + Azul CVC,,010,,,,
,,,,Verde Musgo,,Areia + Rami + Azul Marinho,,011,,,,
,,,,Verde Sage,,Azul Marinho + Preto,,012,,,,
,,,,Vermelho,,Terracota + Preto,,013,,,,
,,,,Vinho Bordô,,Chumbo + Prata,,014,,,,
,,,,BRANCO,,Areia + Prata,,015,,,,
,,,,Terracota,,Champagne + Rami,,016,,,,
,,,,Laranja,,Vinho + Chumbo,,017,,,,
,,,,Chumbo,,Vinho + Preto,,018,,,,
,,,,Madeirado,,Chumbo + Prata + Preto,,019,,,,
,,,,Argila Continua,,Azul Turquesa + Prata + Preto,,020,,,,
,,,,Camurça Estonado,,Preto + Chumbo,,021,,,,
,,,,Azul CVC Estonado,,Champagne + Terracota,,022,,,,
,,,,Verde Militar Estonado,,Marrom + Champagne,,023,,,,
,,,,,,Champagne + Areia + Marrom,,024,,,,
,,,,,,001,,025,,,,
,,,,,,002,,026,,,,
,,,,,,003,,027,,,,
,,,,,,004,,028,,,,
,,,,,,005,,029,,,,
,,,,,,006,,030,,,,
,,,,,,007,,031,,,,
,,,,,,008,,032,,,,
,,,,,,009,,033,,,,
,,,,,,010,,034,,,,
,,,,,,011,,035,,,,
,,,,,,012,,036,,,,
,,,,,,013,,037,,,,
,,,,,,014,,038,,,,
,,,,,,015,,039,,,,
,,,,,,016,,040,,,,
,,,,,,017,,041,,,,
,,,,,,018,,042,,,,
,,,,,,019,,043,,,,
,,,,,,020,,044,,,,
,,,,,,021,,045,,,,
,,,,,,022,,046,,,,
,,,,,,023,,047,,,,
,,,,,,024,,048,,,,
,,,,,,025,,049,,,,
,,,,,,026,,050,,,,
,,,,,,027,,051,,,,
,,,,,,028,,052,,,,
,,,,,,029,,053,,,,
,,,,,,030,,054,,,,
,,,,,,031,,055,,,,
,,,,,,032,,056,,,,
,,,,,,033,,057,,,,
,,,,,,034,,058,,,,
,,,,,,035,,059,,,,
,,,,,,036,,060,,,,
,,,,,,037,,Verde Menta,,,,
,,,,,,038,,,,,,
,,,,,,039,,,,,,
,,,,,,040,,,,,,
,,,,,,041,,,,,,
,,,,,,042,,,,,,
,,,,,,043,,,,,,
,,,,,,044,,,,,,
,,,,,,045,,,,,,
,,,,,,046,,,,,,
,,,,,,047,,,,,,
,,,,,,048,,,,,,
,,,,,,049,,,,,,
,,,,,,050,,,,,,
,,,,,,051,,,,,,
,,,,,,052,,,,,,
,,,,,,053,,,,,,
,,,,,,054,,,,,,
,,,,,,055,,,,,,
,,,,,,056,,,,,,
,,,,,,057,,,,,,
,,,,,,058,,,,,,
,,,,,,059,,,,,,
,,,,,,060,,,,,,
,,,,,,Azul Royal,,,,,,
